Gesture|Coords
0|[[0.6113989440770504, 0.6933596542726953], [0.4506586867541042, 0.6629845941632128], [0.349793296846292, 0.5807068102162548], [0.27373786283126805, 0.5062977440058701], [0.20003019814944584, 0.4350979445567803], [0.47799849500925196, 0.4284290426697719], [0.42823115515750376, 0.2764489845005835], [0.3896849609683398, 0.186451074619436], [0.36271266191959023, 0.12724258482995693], [0.555839890347181, 0.40873913718702737], [0.5255637892930171, 0.24493578302709712], [0.4908335810300603, 0.15163277135432557], [0.4612263640227735, 0.08968912773840387], [0.6131117021199934, 0.40434540190110035], [0.5960370649487223, 0.264134701737037], [0.5700282320045349, 0.18042846411240096], [0.5449708539496977, 0.1264918419804576], [0.6507164182251882, 0.4093171357864505], [0.6483803245924686, 0.3026518358193618], [0.6373581864435143, 0.23842339820583547], [0.6221387330581304, 0.19169799525217807]]
0|[[0.6126572839010371, 0.6942655485324624], [0.45066496842253334, 0.6603651116898209], [0.35058759081523755, 0.5786569830779469], [0.2756461293669891, 0.5055145709803375], [0.20510859079282479, 0.4352015031697571], [0.4738592637845312, 0.42771050351209083], [0.4248053976182381, 0.28000708716091516], [0.3890173118226384, 0.19134584044995634], [0.3646979010411829, 0.1326253763672752], [0.552540279047026, 0.4104773068475717], [0.5262083792907973, 0.250836576849864], [0.49674168584615797, 0.1579188716972746], [0.4715673591953751, 0.09434958609571495], [0.6113574516815006, 0.40804302292209105], [0.598775438649701, 0.27163429528556193], [0.5784516151140087, 0.18827310790347915], [0.5581256566983851, 0.1326831272047173], [0.6507495638511822, 0.4146432012554424], [0.6517128481684301, 0.31086870613774065], [0.6448319565604312, 0.2472421313087173], [0.6337001642263016, 0.19922474758306521]]
0|[[0.6187965445369197, 0.6856852370582601], [0.4520778534572606, 0.654138253806437], [0.3512032533156113, 0.5853327447104419], [0.27207136072929244, 0.5130294429360704], [0.2064187727614153, 0.43590498625580787], [0.4643726373324886, 0.42945168556815494], [0.408953142419956, 0.2859381627538813], [0.3679635795777237, 0.1869069648427155], [0.33395430041282725, 0.11215200678914826], [0.5417638931287622, 0.399326738930147], [0.5201378385311569, 0.2365717637694931], [0.49335341495291385, 0.12966578397334583], [0.46697613325899073, 0.04688930511568411], [0.5988858904709715, 0.3887170695280041], [0.5922695892271909, 0.2548156838814633], [0.5742537842876403, 0.15903208034623967], [0.5525958423461282, 0.0909878010215833], [0.635230789627883, 0.38751006633259666], [0.6398177378787402, 0.2877425497803941], [0.6347939401292313, 0.2184622292087039], [0.6244492497139632, 0.16394055764915863]]
0|[[0.6087984828784807, 0.700811201549067], [0.44849600770835507, 0.6644209200313392], [0.34969576655718304, 0.5841387860748435], [0.274711060267156, 0.5127624230214671], [0.204375404076838, 0.4457032989029077], [0.4656424470491797, 0.4281527603370402], [0.422362756762905, 0.2867535544721258], [0.3942145419394072, 0.19513626751261942], [0.3761826024330248, 0.13190720385236004], [0.5482096454104269, 0.40778738075189647], [0.5344269418023828, 0.253335692924803], [0.5199018561854714, 0.15684807039885523], [0.5081752932848204, 0.0894892039141988], [0.6125865645746491, 0.4043352842089885], [0.6112571649289597, 0.27185694795913623], [0.6050162875577237, 0.18418303871485867], [0.5978892331206724, 0.12367907524213848], [0.6587131177962667, 0.4124287012287816], [0.6672060573020226, 0.31064454585228635], [0.67003747565297, 0.24436597890005088], [0.6698043101506351, 0.1919240504141454]]
0|[[0.6225109932979346, 0.6949162572641927], [0.4535128085242443, 0.6562224671323343], [0.35086342349572097, 0.5844708416823877], [0.2701869193796488, 0.510893829315127], [0.20242751358337632, 0.43570000668375175], [0.4547411853220458, 0.42661034408156734], [0.40312509859604573, 0.28173086344345744], [0.3676101807749657, 0.18213754415963498], [0.34067768440681645, 0.1072432209494597], [0.5359715572006544, 0.39774796521330413], [0.5210668051713395, 0.2330335562470788], [0.5027633465219645, 0.12560099402448885], [0.4857196132485452, 0.044905453938774924], [0.5998630086097289, 0.3886201865094076], [0.6034129605741593, 0.2513172301542611], [0.5952286131946934, 0.15285774633260327], [0.5829092972542692, 0.0846385431227227], [0.6447354785602784, 0.39012581688501885], [0.661025219582512, 0.2877929125782881], [0.6661395440056805, 0.21552548960841417], [0.6657778206861036, 0.15901001715398688]]
0|[[0.6236260374003061, 0.6961568185207202], [0.4541008153248487, 0.655134299164353], [0.3511005783783805, 0.5825602811855914], [0.2704277781951626, 0.5087060463252638], [0.20197871951939797, 0.43434826776866864], [0.45197475499869993, 0.4243599010347839], [0.4013799257315579, 0.27941807269648605], [0.36684121027068617, 0.18048217174353773], [0.34120594866289, 0.10627705547288632], [0.5333850358145465, 0.39653833729215987], [0.5195419092693169, 0.23200654482307395], [0.5028557538435922, 0.1259410103494552], [0.4874638455750727, 0.04706271359334679], [0.5987233707712852, 0.3883085041886536], [0.6045881266366746, 0.25056556089028303], [0.5988098573806275, 0.1524130444790504], [0.5886899074848014, 0.08456227588161862], [0.645770015557892, 0.39055985557897716], [0.6656766446518709, 0.2879000000165214], [0.6739905604817561, 0.215250981008386], [0.6766177601119449, 0.1578214139040491]]
0|[[0.6207345133735284, 0.6959317784001519], [0.4517834728973355, 0.6535907757829983], [0.3495439228855123, 0.5786616917823901], [0.2707434145119503, 0.5020578234430463], [0.20433480974779997, 0.4273254728068786], [0.44924151340367385, 0.42092567490293675], [0.3986450678087163, 0.27657669307902305], [0.3648169213994505, 0.178404890768086], [0.34010053303203786, 0.10451075216473399], [0.5315432530556096, 0.3927985303912785], [0.5181254238419754, 0.2284248040187318], [0.5028251566955085, 0.12289096558653508], [0.48892022952005465, 0.04446794639347284], [0.598361947846903, 0.3845165882270207], [0.6058928105397449, 0.2460144266650382], [0.602485865808572, 0.1480928443016761], [0.5948257739417346, 0.08027527998337836], [0.6471813554540576, 0.3874040070229946], [0.668891385892212, 0.28402183705611905], [0.6795169326114313, 0.21155556064791972], [0.6848642127140491, 0.1540055649162432]]
0|[[0.6230054362268626, 0.6949078306338085], [0.4526728151138773, 0.6537503229227699], [0.35123104692897994, 0.5791944594751569], [0.2729585305564473, 0.5028573937868002], [0.20881394552793353, 0.42896901939032395], [0.44909901440697314, 0.42308231460936707], [0.39524854586331043, 0.2799195460621961], [0.3594226247071972, 0.18245342891156283], [0.3335771930352549, 0.10898932694946604], [0.5316408038465247, 0.39360226553981403], [0.5160487319462485, 0.22935008208520932], [0.5000282418501234, 0.12265910225743708], [0.48674462196361634, 0.04302585460729077], [0.5992397296558384, 0.3849591571348615], [0.6064497810927004, 0.24612282709191524], [0.6031811176855467, 0.1463479954423881], [0.5962775144894535, 0.0766295348706591], [0.6488812179250865, 0.3882819370898122], [0.6721755726615439, 0.28531126494007497], [0.6837607973567463, 0.2120835423807367], [0.6902217531901964, 0.15312641154662401]]
0|[[0.624141655400236, 0.6946447750285868], [0.452600345112549, 0.6517072620828793], [0.3517068104310951, 0.5776660377940366], [0.2750376720049496, 0.5018128734661155], [0.21256809136605223, 0.4296589179566117], [0.44583980262789036, 0.4197965043190218], [0.3920404970125739, 0.2750534995132834], [0.35849933915150756, 0.17841276466189526], [0.335211861913864, 0.1062367343044068], [0.5295536447051468, 0.3919946933641461], [0.5126886564284696, 0.22735782255932743], [0.4985773335851266, 0.12261195637880912], [0.48726162715798127, 0.04478096779860498], [0.5993452284697541, 0.38534229704747486], [0.6057803952844412, 0.24709548737983578], [0.6039488269333323, 0.1500652964252852], [0.5985653866059312, 0.08277942574120677], [0.6513829676597648, 0.3904319660881669], [0.6744755285073409, 0.2884750069257102], [0.6866800047417448, 0.21733595909855505], [0.6939819085240236, 0.16020712169914803]]
0|[[0.6256885824302463, 0.696838626222139], [0.4552237586584054, 0.6531803771338991], [0.3545508249103739, 0.57748894859965], [0.28027317205399827, 0.49956156849245786], [0.22185631924077834, 0.42694603213140414], [0.4412986033132073, 0.422200412075659], [0.38720473404062694, 0.2763353772835407], [0.3558280986879161, 0.1808101085904084], [0.33472933385109566, 0.11002523542672511], [0.5266723623219277, 0.3946250521683233], [0.5043161131709417, 0.22847772312799597], [0.48938224508626993, 0.12383345060536044], [0.47784693028665876, 0.047038691103266646], [0.6000298971206576, 0.3888082316032351], [0.6019018199076158, 0.24799001567765952], [0.5993341202784349, 0.15047605617690005], [0.5933802563117404, 0.08347902243265996], [0.656455092016495, 0.3954338712308351], [0.676668458491188, 0.2904658469479973], [0.6877807462552272, 0.2186100825636951], [0.6937443200760024, 0.1612585338424994]]
